;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	PIECE	C_SkinLips1	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_SkinLips1	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_SkinLips1	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_SkinLips1	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_SkinLips2	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_SkinLips2	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_SkinLips2	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_SkinLips2	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkLizardMan	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkLizardMan	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkLizardMan	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkLizardMan	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkComLizardMan	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_DarkComLizardMan	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_DarkComLizardMan	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_DarkComLizardMan	50	0	Mortals cannot be forgiven at all!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_LizardManGuardian	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_LizardManGuardian	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_LizardManGuardian	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_LizardManGuardian	50	0	Mortals cannot be forgiven at all!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_DarkMarloneArcher	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_DarkMarloneArcher	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_DarkMarloneArcher	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_DarkMarloneArcher	50	0	Mortals cannot be forgiven at all!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_DarkNavar	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_DarkNavar	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_DarkNavar	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_DarkNavar	50	0	Mortals cannot be forgiven at all!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_CurseDarkNavar	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_CurseDarkNavar	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_CurseDarkNavar	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_CurseDarkNavar	50	0	Mortals cannot be forgiven at all!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_DarkOrc	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkOrc	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkOrc	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkOrc	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_CurseDarkOrc	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_CurseDarkOrc	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_CurseDarkOrc	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_CurseDarkOrc	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_HeavyOrc	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_HeavyOrc	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_HeavyOrc	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_HeavyOrc	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkPinky	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkPinky	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkPinky	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkPinky	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkPixy	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkPixy	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkPixy	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkPixy	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkShylph	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_DarkShylph	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_DarkShylph	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_DarkShylph	50	0	All we want is only peace!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_DarkSkelArcher	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkSkelArcher	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkSkelArcher	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkSkelArcher	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkOneSkelArcher	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkOneSkelArcher	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkOneSkelArcher	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkOneSkelArcher	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_RangerSkelArcher	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_RangerSkelArcher	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_RangerSkelArcher	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_RangerSkelArcher	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkSoulSkeleton	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkSoulSkeleton	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkSoulSkeleton	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkSoulSkeleton	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkSkeletonKnight	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkSkeletonKnight	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkSkeletonKnight	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkSkeletonKnight	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkSkeletonCom	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkSkeletonCom	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkSkeletonCom	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkSkeletonCom	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkSkelWarrior	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkSkelWarrior	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkSkelWarrior	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkSkelWarrior	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkSpakeDog	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkSpakeDog	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkSpakeDog	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkSpakeDog	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_BigDarkSpakeDog	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_BigDarkSpakeDog	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_BigDarkSpakeDog	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_BigDarkSpakeDog	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkStonie	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkStonie	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkStonie	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkStonie	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkStonieCom	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkStonieCom	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkStonieCom	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkStonieCom	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_SkinStonie	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_SkinStonie	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_SkinStonie	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_SkinStonie	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_SkinRedStonie	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_SkinRedStonie	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_SkinRedStonie	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_SkinRedStonie	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_TombRaider	1800000	1800000	"Gosh, we got caught!"	Mortals cannot be forgiven.	I didn't even find the jewel!	Where will the jewel of Iyzel be hidden?
#RecordIn	ATTACK	C_TombRaider	50	0	"Mortals, you are unexcusable!"	We can easily eject mortals at anytime!	I have the power!	You better run away quickly!
#RecordIn	DAMAGED	C_TombRaider	50	0	Krrr......	How feeble mortals' efforts are!	Oh!	Attack harder!
#RecordIn	DEAD	C_TombRaider	50	0	Should...kill them all...	No! The jewel is in front of my eyes...	I can't go back to the time of eternity like this~~ oh no~~~	Oh...How can it be my last moment in front of the jewel of Iyzel...? 
#RecordIn	PIECE	C_MagTombRaider	1800000	1800000	"Gosh, we got caught!"	Mortals cannot be forgiven.	I didn't even find the jewel!	Where will the jewel of Iyzel be hidden?
#RecordIn	ATTACK	C_MagTombRaider	50	0	"Mortals, you are unexcusable!"	We can easily eject mortals at anytime!	I have the power!	You better run away quickly!
#RecordIn	DAMAGED	C_MagTombRaider	50	0	Krrr......	How feeble mortals' efforts are!	Oh!	Attack harder!
#RecordIn	DEAD	C_MagTombRaider	50	0	Should...kill them all...	No! The jewel is in front of my eyes...	I can't go back to the time of eternity like this~~ oh no~~~	Oh...How can it be my last moment in front of the jewel of Iyzel...? 
#RecordIn	PIECE	C_DarkVampireBat	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkVampireBat	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkVampireBat	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkVampireBat	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_MagVampireBat	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_MagVampireBat	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_MagVampireBat	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_MagVampireBat	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkZombie	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkZombie	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkZombie	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkZombie	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_JewelGolem	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_JewelGolem	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_JewelGolem	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_JewelGolem	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_LizardManIyzel	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_LizardManIyzel	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_LizardManIyzel	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_LizardManIyzel	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkLizardManIyzel	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkLizardManIyzel	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkLizardManIyzel	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkLizardManIyzel	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_OrcIyzel	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_OrcIyzel	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_OrcIyzel	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_OrcIyzel	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_CurseOrcIyzel	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_CurseOrcIyzel	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_CurseOrcIyzel	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_CurseOrcIyzel	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_SkelArcherIyzel	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_SkelArcherIyzel	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_SkelArcherIyzel	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_SkelArcherIyzel	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_OneSkelArcherIyzel	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_OneSkelArcherIyzel	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_OneSkelArcherIyzel	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_OneSkelArcherIyzel	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_BigSpakeDogIyzel	1800000	1800000	We can never be beaten by spiritless mortals!	Mortals cannot be forgiven.	Fellows of the Crystal Tower!	For Iyzel!
#RecordIn	ATTACK	C_BigSpakeDogIyzel	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_BigSpakeDogIyzel	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_BigSpakeDogIyzel	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	E_JackO01	1800000	3400000	I wish I could remember where set my body... All this hopping around is making my head hurt.	"When witches go riding, and black cats are seen, the moon laughs and whispers, ‘tis near Halloween."	There is something haunting in the light of the moon.	-
#RecordIn	ATTACK	E_JackO01	10	0	-	-	-	-
#RecordIn	DAMAGED	E_JackO01	10	0	-	-	-	-
#RecordIn	DEAD	E_JackO01	10	0	-	-	-	-
#RecordIn	PIECE	E_JackO02	1800000	3400000	I wish I could remember where set my body... All this hopping around is making my head hurt.	"When witches go riding, and black cats are seen, the moon laughs and whispers, ‘tis near Halloween."	There is something haunting in the light of the moon.	-
#RecordIn	ATTACK	E_JackO02	10	0	-	-	-	-
#RecordIn	DAMAGED	E_JackO02	10	0	-	-	-	-
#RecordIn	DEAD	E_JackO02	10	0	-	-	-	-
#RecordIn	PIECE	E_JackO03	1800000	3400000	I wish I could remember where set my body... All this hopping around is making my head hurt.	"When witches go riding, and black cats are seen, the moon laughs and whispers, ‘tis near Halloween."	There is something haunting in the light of the moon.	-
#RecordIn	ATTACK	E_JackO03	10	0	-	-	-	-
#RecordIn	DAMAGED	E_JackO03	10	0	-	-	-	-
#RecordIn	DEAD	E_JackO03	10	0	-	-	-	-
#RecordIn	PIECE	E_JackO04	1800000	3400000	I wish I could remember where set my body... All this hopping around is making my head hurt.	"When witches go riding, and black cats are seen, the moon laughs and whispers, ‘tis near Halloween."	There is something haunting in the light of the moon.	-
#RecordIn	ATTACK	E_JackO04	10	0	-	-	-	-
#RecordIn	DAMAGED	E_JackO04	10	0	-	-	-	-
#RecordIn	DEAD	E_JackO04	10	0	-	-	-	-
#RecordIn	PIECE	E_JackO05	1800000	3400000	I wish I could remember where set my body... All this hopping around is making my head hurt.	"When witches go riding, and black cats are seen, the moon laughs and whispers, ‘tis near Halloween."	There is something haunting in the light of the moon.	-
#RecordIn	ATTACK	E_JackO05	10	0	-	-	-	-
#RecordIn	DAMAGED	E_JackO05	10	0	-	-	-	-
#RecordIn	DEAD	E_JackO05	10	0	-	-	-	-
#RecordIn	PIECE	BSpikeHorn	10000	20000	-	-	-	-
